t,current,position,velocity,time
0,187,-3078,9999,-0.012
0.05,161,-3486,10399,-0.0658
0.1,219,-4128,10998,-0.1197
0.15,161,-4499,199,-0.1735
0.2,167,-4483,599,-0.2274
0.25,20,-4429,1198,-0.2822
0.3,5,-4339,1798,-0.3371
0.35,70,-4213,2397,-0.392
0.4,43,-4109,2797,-0.4458
0.45,52,-3923,3396,-0.4997
0.5,49,-3701,3996,-0.5546
0.55,90,-3533,4595,-0.6094
0.6,67,-3252,4995,-0.6642
0.65,105,-2934,5594,-0.7191
0.7,102,-2580,6193,-0.7729
0.75,105,-2325,6593,-0.8278
0.8,134,-1911,7192,-0.8826
0.85,143,-1462,7792,-0.9375
0.9,146,-976,8391,-0.9924
0.95,164,-632,8791,-1.0452
1.0,158,-87,9390,-1.0991
1.05,196,495,9990,-1.1529
1.1,178,902,10389,-1.2078
1.15,208,1543,10989,-1.2626
1.2,196,2221,11588,-1.3165
1.25,211,2934,12187,-1.3713
1.3,211,3430,12587,-1.4262
1.35,225,4203,13186,-1.48
1.4,243,4498,199,-1.5349
1.45,205,4482,799,-1.5897
1.5,14,4428,1198,-1.6436
1.55,14,4338,1798,-1.6985
1.6,73,4212,2397,-1.7533
1.65,43,4108,2797,-1.8082
1.7,58,3922,3396,-1.863
1.75,79,3700,3996,-1.9179
1.8,90,3443,4595,-1.9727
1.85,79,3251,4995,-2.0276
1.9,102,2933,5594,-2.0825
1.95,105,2579,6193,-2.1373
2.0,129,2190,6793,-2.1911
2.05,131,1910,7192,-2.246
2.1,126,1461,7792,-2.3009
2.15,143,975,8391,-2.3557
2.2,149,631,8991,-2.4096
2.25,173,86,9390,-2.4654
2.3,170,-495,9990,-2.5193
2.35,167,-1113,10589,-2.5731
2.4,190,-1544,10989,-2.628
2.45,208,-2222,11588,-2.6828
2.5,208,-2935,12187,-2.7377
2.55,208,-3684,12787,-2.7916
2.6,205,-4204,13186,-2.8454
2.65,205,-4499,199,-2.9003
2.7,38,-4469,799,-2.9551
2.75,14,-4429,1398,-3.009
2.8,26,-4339,1798,-3.0638
2.85,52,-4213,2397,-3.1177
2.9,43,-4051,2997,-3.1735
2.95,46,-3923,3396,-3.2274
3.0,49,-3701,3996,-3.2822
3.05,46,-3444,4595,-3.3381
3.1,87,-3150,5194,-3.392
3.15,108,-2934,5594,-3.4468
3.2,96,-2580,6193,-3.5016
3.25,114,-2191,6793,-3.5555
3.3,123,-1911,7392,-3.6104
3.35,137,-1462,7792,-3.6642
3.4,129,-976,8391,-3.7201
3.45,170,-455,8991,-3.7739
3.5,158,-87,9390,-3.8288
3.55,184,495,9990,-3.8836
3.6,184,1112,10589,-3.9375
3.65,190,1765,11188,-3.9923
3.7,202,2221,11588,-4.0472
3.75,214,2934,12187,-4.101
3.8,199,3683,12787,-4.1549
3.85,219,4203,13386,-4.2098
3.9,228,4498,199,-4.2646
3.95,90,4468,799,-4.3195
4.0,11,4402,1398,-4.3733
4.05,14,4338,1798,-4.4272
4.1,61,4212,2397,-4.4811
4.15,64,4050,2997,-4.5359
4.2,52,3922,3596,-4.5897
4.25,52,3700,3996,-4.6436
4.3,85,3443,4595,-4.6984
4.35,102,3149,5194,-4.7533
4.4,120,2933,5594,-4.8071
4.45,134,2579,6193,-4.862
4.5,117,2190,6793,-4.9159
4.55,149,1764,7392,-4.9707
4.6,152,1461,7792,-5.0256
4.65,137,975,8391,-5.0804
4.7,152,454,8991,-5.1353
4.75,164,86,9590,-5.1901
4.8,167,-495,9990,-5.245
4.85,167,-1113,10589,-5.2998
4.9,187,-1766,11188,-5.3547
4.95,234,-2222,11788,-5.4095
5.0,211,-2935,12187,-5.4634
5.05,202,-3684,12787,-5.5173
5.1,214,-4470,13386,-5.5721
5.15,199,-4499,199,-5.626
5.2,120,-4469,799,-5.6798
5.25,20,-4403,1398,-5.7337
5.3,11,-4339,1798,-5.7875
5.35,52,-4213,2397,-5.8414
5.4,49,-4051,2997,-5.8962
5.45,61,-3853,3596,-5.9511
5.5,43,-3701,3996,-6.0049
5.55,82,-3444,4595,-6.0598
5.6,85,-3150,5194,-6.1147
5.65,99,-2934,5594,-6.1695
5.7,96,-2580,6193,-6.2244
5.75,108,-2191,6793,-6.2792
5.8,129,-1765,7392,-6.352
5.85,140,-1304,7992,-6.4059
5.9,167,-806,8591,-6.4597
5.95,143,-273,9190,-6.5146
6.0,181,103,9790,-6.5695
6.05,170,696,10189,-6.6243
6.1,170,1326,10789,-6.6781
6.15,214,1991,11388,-6.733
6.2,240,2455,11788,-6.7869
6.25,202,3180,12387,-6.8417
6.3,219,3941,12987,-6.8956
6.35,234,4469,0,-6.9494
6.4,161,4492,399,-7.0043
6.45,5,4450,999,-7.0591
6.5,11,4372,1598,-7.114
